| Interactions | ng | ns | nn | ll | sb | ss | tb | bb | gg | sg |
| tanbeta = 10, m0 = 120 m12 = 320 | 0.0212501  pm 0.00168013 | 0.0523832 pm 0.0116165 | 0.231203 pm 0.0128507 | 0.0410496 pm 0.00238783 | 0.144 pm 0.0223536 | 0.406321 pm 0.0440535 | 0.03648 pm 0.00950537 | 0.01126 pm 0.00361731 | 0.0682 pm 0.0192848 | 0.476 pm 0.0614333 | 
| tanbeta = 10, m0 = 120 m12 = 340 | 0.0148087  pm 0.0011677 | 0.0374208 pm 0.00857311 | 0.170706 pm 0.00936408 | 0.0338198 pm 0.0020048 | 0.0956 pm 0.0152892 | 0.292028 pm 0.0323988 | 0.02414 pm 0.006589 | 0.00736 pm 0.00248271 | 0.0422274 pm 0.0127669 | 0.315 pm 0.0429401 | 
| tanbeta = 10, m0 = 120 m12 = 360 | 0.0104256  pm 0.00081481 | 0.027039 pm 0.00632546 | 0.127941 pm 0.0069216 | 0.028 pm 0.00167583 | 0.0642 pm 0.0106263 | 0.211621 pm 0.0239216 | 0.01618 pm 0.00461548 | 0.00487 pm 0.00172702 | 0.0265404 pm 0.00862792 | 0.21175 pm 0.0307314 | 
| tanbeta = 10, m0 = 120 m12 = 380 | 0.00740275  pm 0.00057361 | 0.0197286 pm 0.00470141 | 0.0971257 pm 0.00516473 | 0.0232887 pm 0.00141859 | 0.0434 pm 0.00741017 | 0.154693 pm 0.0182213 | 0.01098 pm 0.00327287 | 0.00326 pm 0.00120844 | 0.016795 pm 0.00589208 | 0.142261 pm 0.0223332 | 
| tanbeta = 10, m0 = 120 m12 = 400 | 0.00528846  pm 0.000408287 | 0.0145227 pm 0.00353614 | 0.0745234 pm 0.00392782 | 0.0194486 pm 0.00120854 | 0.0296 pm 0.00524092 | 0.113213 pm 0.0136035 | 0.007571 pm 0.00235168 | 0.002208 pm 0.000861225 | 0.0108258 pm 0.00405939 | 0.0970385 pm 0.0164095 | 
| tanbeta = 10, m0 = 120 m12 = 420 | 0.00381457  pm 0.000289733 | 0.0107824 pm 0.00268038 | 0.0578841 pm 0.00303407 | 0.0163261 pm 0.00100455 | 0.0203297 pm 0.00381256 | 0.0834795 pm 0.0100673 | 0.005271 pm 0.00170986 | 0.001506 pm 0.000613454 | 0.00698117 pm 0.00277203 | 0.0665663 pm 0.0120966 | 
| tanbeta = 10, m0 = 120 m12 = 440 | 0.00276131  pm 0.000205679 | 0.00805941 pm 0.00204877 | 0.0452412 pm 0.00234944 | 0.01374 pm 0.00085341 | 0.0140194 pm 0.0027669 | 0.0617667 pm 0.00767472 | 0.003704 pm 0.00125296 | 0.001037 pm 0.000439976 | 0.00458392 pm 0.00193486 | 0.0461422 pm 0.00901476 | 
| tanbeta = 10, m0 = 120 m12 = 460 | 0.00201096  pm 0.000148832 | 0.00606395 pm 0.00157749 | 0.0357226 pm 0.00183749 | 0.0116267 pm 0.000734314 | 0.0096978 pm 0.00204181 | 0.0458441 pm 0.00575478 | 0.002617 pm 0.000923821 | 0.000718 pm 0.000317752 | 0.00300967 pm 0.00134336 | 0.0319791 pm 0.00664871 | 
| tanbeta = 10, m0 = 120 m12 = 480 | 0.00147317  pm 0.000107078 | 0.00460041 pm 0.00122466 | 0.0283148 pm 0.00145063 | 0.00986199 pm 0.000626964 | 0.00675587 pm 0.00151509 | 0.0342829 pm 0.00440634 | 0.001865 pm 0.000685914 | 0.000501 pm 0.000231857 | 0.00200799 pm 0.000949462 | 0.022399 pm 0.00493245 | 
| tanbeta = 10, m0 = 120 m12 = 500 | 0.00108343  pm 7.47937e-05 | 0.00350516 pm 0.000952385 | 0.0225938 pm 0.0011514 | 0.00838813 pm 0.000547834 | 0.00474351 pm 0.00112759 | 0.0256713 pm 0.00340216 | 0.001247 pm 0.000498513 | 0.000351 pm 0.000169549 | 0.00134689 pm 0.000667439 | 0.0158338 pm 0.00377207 | 
| tanbeta = 10, m0 = 120 m12 = 520 | 0.00080207  pm 5.47431e-05 | 0.00268265 pm 0.000741364 | 0.0181852 pm 0.000928394 | 0.00717014 pm 0.000451361 | 0.00333401 pm 0.000842779 | 0.0192025 pm 0.00259037 | 0.0009001 pm 0.000374575 | 0.0002477 pm 0.000125084 | 0.00090572 pm 0.000471039 | 0.011209 pm 0.00286142 | 
| tanbeta = 10, m0 = 120 m12 = 540 | 0.000597177  pm 4.0838e-05 | 0.00206264 pm 0.000578994 | 0.0146848 pm 0.000746562 | 0.00613398 pm 0.000400414 | 0.0023533 pm 0.000634306 | 0.0144449 pm 0.00202634 | 0.0006527 pm 0.000281736 | 0.0001758 pm 9.20367e-05 | 0.000612075 pm 0.000332985 | 0.00790983 pm 0.00213105 | 
| tanbeta = 10, m0 = 120 m12 = 560 | 0.000445871  pm 3.06423e-05 | 0.0015933 pm 0.000453514 | 0.0119187 pm 0.000605803 | 0.00527552 pm 0.000335423 | 0.00164807 pm 0.000468712 | 0.0107746 pm 0.00149148 | 0.000475 pm 0.000212955 | 0.0001249 pm 6.85479e-05 | 0.000415505 pm 0.000236446 | 0.00558832 pm 0.00159938 | 
| tanbeta = 10, m0 = 120 m12 = 580 | 0.000334433  pm 2.26787e-05 | 0.00123645 pm 0.000355871 | 0.00971391 pm 0.000492299 | 0.00454295 pm 0.000295925 | 0.00117748 pm 0.000355213 | 0.00816921 pm 0.00117403 | 0.000348 pm 0.000161826 | 8.92e-05 pm 5.09557e-05 | 0.000282173 pm 0.000167405 | 0.00399009 pm 0.00120467 | 
| tanbeta = 10, m0 = 120 m12 = 600 | 0.000249928  pm 1.7071e-05 | 0.000963186 pm 0.000281393 | 0.00795755 pm 0.000405835 | 0.0039216 pm 0.000257499 | 0.000837687 pm 0.000268264 | 0.00613963 pm 0.000904254 | 0.0002558 pm 0.000123771 | 6.39e-05 pm 3.80463e-05 | 0.000192656 pm 0.000118807 | 0.00284362 pm 0.000902383 | 
| tanbeta = 10, m0 = 120 m12 = 620 | 0.000187424  pm 1.3457e-05 | 0.000752115 pm 0.000223257 | 0.00652286 pm 0.000329362 | 0.00339493 pm 0.000224491 | 0.000594843 pm 0.000201389 | 0.00461465 pm 0.000693497 | 0.0001895 pm 9.43433e-05 | 4.58e-05 pm 2.84199e-05 | 0.000132029 pm 8.45897e-05 | 0.00202591 pm 0.000678622 | 
| tanbeta = 10, m0 = 140 m12 = 100 | 4.43163  pm 0.295013 | 7.27329 pm 1.22779 | 183.742 pm 19.1841 | 0.264583 pm 0.013223 | 49.4728 pm 7.7823 | 44.7584 pm 5.4252 | 12.6233 pm 2.32787 | 5.17 pm 0.90279 | 93.3464 pm 13.0513 | 211.623 pm 23.3971 | 
| tanbeta = 10, m0 = 140 m12 = 120 | 2.17399  pm 0.138987 | 3.9694 pm 0.690153 | 48.905 pm 4.44578 | 0.223765 pm 0.0113314 | 24.0843 pm 3.7087 | 24.5582 pm 2.68231 | 6.81808 pm 1.26038 | 2.464 pm 0.455433 | 36.3672 pm 5.31335 | 97.4109 pm 10.2334 | 
| tanbeta = 10, m0 = 140 m12 = 140 | 1.16918  pm 0.0761511 | 2.25963 pm 0.411479 | 16.9991 pm 1.3818 | 0.186824 pm 0.0095829 | 12.3967 pm 1.85445 | 14.354 pm 1.50092 | 3.65742 pm 0.689312 | 1.228 pm 0.243308 | 15.3509 pm 2.31162 | 48.0101 pm 4.93599 | 
| tanbeta = 10, m0 = 140 m12 = 160 | 0.665361  pm 0.0448861 | 1.33757 pm 0.249343 | 7.77708 pm 0.580104 | 0.154542 pm 0.0081732 | 6.83602 pm 1.0494 | 8.81909 pm 0.910988 | 1.97407 pm 0.374694 | 0.643 pm 0.135073 | 7.1 pm 1.14528 | 25.1011 pm 2.54039 | 
| tanbeta = 10, m0 = 140 m12 = 180 | 0.396149  pm 0.0277977 | 0.819619 pm 0.155981 | 4.12057 pm 0.286258 | 0.127172 pm 0.0067503 | 3.83674 pm 0.582912 | 5.56153 pm 0.564176 | 1.0853 pm 0.206809 | 0.351 pm 0.0784713 | 3.51 pm 0.616477 | 13.7449 pm 1.36796 | 
| tanbeta = 10, m0 = 140 m12 = 200 | 0.243922  pm 0.0173151 | 0.517333 pm 0.101046 | 2.38988 pm 0.157505 | 0.104428 pm 0.00566396 | 2.25042 pm 0.340855 | 3.61 pm 0.359206 | 0.617522 pm 0.121969 | 0.1978 pm 0.0466176 | 1.82 pm 0.345587 | 7.84169 pm 0.776871 | 
| tanbeta = 10, m0 = 140 m12 = 220 | 0.154521  pm 0.0112487 | 0.335186 pm 0.0665462 | 1.47857 pm 0.0931058 | 0.0857024 pm 0.00473 | 1.34341 pm 0.201775 | 2.4 pm 0.239208 | 0.3618 pm 0.074827 | 0.1154 pm 0.0288764 | 0.98 pm 0.20008 | 4.62 pm 0.459198 | 
| tanbeta = 10, m0 = 140 m12 = 240 | 0.100246  pm 0.00739608 | 0.222134 pm 0.045191 | 0.958762 pm 0.0589313 | 0.0703392 pm 0.00399973 | 0.823997 pm 0.125164 | 1.62193 pm 0.163459 | 0.2178 pm 0.0472651 | 0.069 pm 0.0182204 | 0.547 pm 0.120326 | 2.81 pm 0.293835 | 
| tanbeta = 10, m0 = 140 m12 = 260 | 0.0662935  pm 0.00509464 | 0.150161 pm 0.0313078 | 0.646575 pm 0.038287 | 0.0579572 pm 0.00323023 | 0.516964 pm 0.0788594 | 1.1233 pm 0.115007 | 0.1346 pm 0.0306292 | 0.0423 pm 0.0118131 | 0.314 pm 0.073741 | 1.75 pm 0.192335 | 
| tanbeta = 10, m0 = 140 m12 = 280 | 0.0446046  pm 0.00344984 | 0.103298 pm 0.022011 | 0.448976 pm 0.0259751 | 0.0478594 pm 0.00276822 | 0.327067 pm 0.049587 | 0.782227 pm 0.0813348 | 0.0847 pm 0.0201896 | 0.0265 pm 0.0077683 | 0.184 pm 0.0462214 | 1.1 pm 0.127969 | 
| tanbeta = 10, m0 = 140 m12 = 300 | 0.0303898  pm 0.00238229 | 0.072033 pm 0.0157304 | 0.319121 pm 0.018229 | 0.0396397 pm 0.00234008 | 0.211297 pm 0.0322538 | 0.552655 pm 0.0589437 | 0.05436 pm 0.0135658 | 0.01683 pm 0.00518064 | 0.111 pm 0.0296403 | 0.713 pm 0.0875558 | 
| tanbeta = 10, m0 = 140 m12 = 320 | 0.0209799  pm 0.00164652 | 0.0510302 pm 0.0114588 | 0.231518 pm 0.0128624 | 0.0329264 pm 0.00195166 | 0.139 pm 0.0216493 | 0.395377 pm 0.0430977 | 0.0355 pm 0.00926228 | 0.01087 pm 0.00351753 | 0.0676 pm 0.0191775 | 0.467 pm 0.0605046 | 
| tanbeta = 10, m0 = 140 m12 = 340 | 0.0146536  pm 0.00114817 | 0.0365015 pm 0.00838501 | 0.170945 pm 0.00936891 | 0.0274572 pm 0.00165729 | 0.0924 pm 0.0148633 | 0.284481 pm 0.0312588 | 0.02359 pm 0.00645559 | 0.00712 pm 0.00240968 | 0.0419063 pm 0.0126999 | 0.31 pm 0.0423737 | 
| tanbeta = 10, m0 = 140 m12 = 360 | 0.0103084  pm 0.000812889 | 0.0264212 pm 0.00617637 | 0.12821 pm 0.00693551 | 0.0229638 pm 0.00140935 | 0.0622 pm 0.0103109 | 0.206623 pm 0.0234474 | 0.01575 pm 0.00450844 | 0.00473 pm 0.00167885 | 0.0263262 pm 0.00859011 | 0.207629 pm 0.0302834 | 
| tanbeta = 10, m0 = 140 m12 = 380 | 0.00733316  pm 0.000582543 | 0.0193183 pm 0.00461392 | 0.0973025 pm 0.00519606 | 0.019285 pm 0.00118965 | 0.0421 pm 0.00722631 | 0.151191 pm 0.0174451 | 0.01076 pm 0.00321124 | 0.00317 pm 0.00118041 | 0.0166284 pm 0.00581079 | 0.140219 pm 0.0221294 | 
| tanbeta = 10, m0 = 140 m12 = 400 | 0.00524851  pm 0.00041055 | 0.0142418 pm 0.00347286 | 0.0746051 pm 0.00395209 | 0.0162656 pm 0.00101273 | 0.0288 pm 0.00512302 | 0.11064 pm 0.0129576 | 0.007436 pm 0.00231697 | 0.00215 pm 0.000834457 | 0.0107378 pm 0.00401246 | 0.0955604 pm 0.0162415 | 
| tanbeta = 10, m0 = 140 m12 = 420 | 0.00378515  pm 0.000293116 | 0.0105836 pm 0.0026329 | 0.0578797 pm 0.00303393 | 0.0137465 pm 0.000859451 | 0.0197672 pm 0.00368955 | 0.0817219 pm 0.00985916 | 0.005182 pm 0.00168329 | 0.00147 pm 0.000596195 | 0.00693517 pm 0.00276309 | 0.0655877 pm 0.0119394 | 
| tanbeta = 10, m0 = 140 m12 = 440 | 0.00274426  pm 0.000207835 | 0.00792284 pm 0.00202024 | 0.0452386 pm 0.002349 | 0.0116646 pm 0.000734131 | 0.0136126 pm 0.00271271 | 0.0605161 pm 0.00751172 | 0.003637 pm 0.00123446 | 0.001012 pm 0.000430585 | 0.00453781 pm 0.00191441 | 0.0453471 pm 0.00887178 | 
| tanbeta = 10, m0 = 140 m12 = 460 | 0.00199651  pm 0.000147955 | 0.00597178 pm 0.0015538 | 0.0357246 pm 0.0018374 | 0.00993306 pm 0.000638095 | 0.00945578 pm 0.00199939 | 0.0449962 pm 0.00571701 | 0.002582 pm 0.000913766 | 0.000702 pm 0.000311681 | 0.00301041 pm 0.0013441 | 0.0316656 pm 0.00660612 | 
| tanbeta = 10, m0 = 140 m12 = 480 | 0.00146234  pm 0.000106753 | 0.00453213 pm 0.00120126 | 0.0283091 pm 0.0014489 | 0.00847621 pm 0.00053894 | 0.00663794 pm 0.00149164 | 0.0337827 pm 0.00435789 | 0.001842 pm 0.000679066 | 0.00049 pm 0.000227543 | 0.00200799 pm 0.000949462 | 0.0221953 pm 0.00491086 | 
| tanbeta = 10, m0 = 140 m12 = 500 | 0.00107636  pm 7.50111e-05 | 0.00345102 pm 0.000942568 | 0.02269 pm 0.00116846 | 0.00725028 pm 0.000458393 | 0.00461471 pm 0.00110287 | 0.0251176 pm 0.00330055 | 0.001235 pm 0.000493947 | 0.000344 pm 0.000166907 | 0.00133591 pm 0.00066389 | 0.0155728 pm 0.00369049 | 
| tanbeta = 10, m0 = 140 m12 = 520 | 0.00079651  pm 5.45604e-05 | 0.00264483 pm 0.000734264 | 0.0181926 pm 0.000927435 | 0.00621863 pm 0.000403903 | 0.00324564 pm 0.000823626 | 0.0188019 pm 0.0025431 | 0.0008877 pm 0.000368993 | 0.0002435 pm 0.000122915 | 0.000897224 pm 0.000467178 | 0.0110122 pm 0.00281634 | 
| tanbeta = 10, m0 = 140 m12 = 540 | 0.000593732  pm 4.09528e-05 | 0.00203469 pm 0.000571535 | 0.0146823 pm 0.000745205 | 0.00536258 pm 0.000349934 | 0.00228972 pm 0.000614054 | 0.0140868 pm 0.00195013 | 0.0006437 pm 0.000278216 | 0.0001722 pm 9.06923e-05 | 0.000606195 pm 0.00033023 | 0.00777931 pm 0.00210685 | 
| tanbeta = 10, m0 = 140 m12 = 560 | 0.000442554  pm 2.96099e-05 | 0.00157276 pm 0.00044811 | 0.0119273 pm 0.000606388 | 0.00462363 pm 0.000304285 | 0.00161759 pm 0.000463556 | 0.0106285 pm 0.00152421 | 0.0004693 pm 0.000210933 | 0.0001227 pm 6.74097e-05 | 0.000411329 pm 0.000234766 | 0.0055205 pm 0.0015844 | 
| tanbeta = 10, m0 = 140 m12 = 580 | 0.000331918  pm 2.21424e-05 | 0.00122111 pm 0.00035204 | 0.00971208 pm 0.00049162 | 0.00399931 pm 0.000264363 | 0.00114773 pm 0.000348148 | 0.00798857 pm 0.00115528 | 0.0003445 pm 0.000159994 | 8.76e-05 pm 5.01779e-05 | 0.000279262 pm 0.000165993 | 0.00392553 pm 0.00118427 | 
| tanbeta = 10, m0 = 140 m12 = 600 | 0.000248664  pm 1.70304e-05 | 0.000950444 pm 0.000278416 | 0.00795607 pm 0.000405004 | 0.00346782 pm 0.00022876 | 0.000822878 pm 0.000264378 | 0.00605381 pm 0.000890006 | 0.0002535 pm 0.000122537 | 6.28e-05 pm 3.74853e-05 | 0.000191521 pm 0.000118475 | 0.00281278 pm 0.000898612 | 
| tanbeta = 10, m0 = 140 m12 = 620 | 0.000186434  pm 1.35404e-05 | 0.000742984 pm 0.000221516 | 0.00653196 pm 0.000331283 | 0.00301369 pm 0.000200368 | 0.000584776 pm 0.000198997 | 0.00455444 pm 0.00068649 | 0.0001873 pm 9.36136e-05 | 4.52e-05 pm 2.80066e-05 | 0.000131992 pm 8.46258e-05 | 0.00201523 pm 0.000676596 | 
| tanbeta = 10, m0 = 140 m12 = 640 | 0.000140101  pm 1.05262e-05 | 0.000582155 pm 0.000175239 | 0.00537188 pm 0.000270805 | 0.00262422 pm 0.000177646 | 0.000415137 pm 0.000148876 | 0.00342217 pm 0.000526499 | 0.0001391 pm 7.21748e-05 | 3.25e-05 pm 2.10185e-05 | 9.02949e-05 pm 5.99711e-05 | 0.00144152 pm 0.000508875 | 
| tanbeta = 10, m0 = 140 m12 = 660 | 0.000105489  pm 8.34225e-06 | 0.000457753 pm 0.000139164 | 0.00444398 pm 0.000225236 | 0.00228941 pm 0.000151982 | 0.000298309 pm 0.000113207 | 0.0025913 pm 0.000408304 | 0.0001032 pm 5.53983e-05 | 2.345e-05 pm 1.57734e-05 | 6.18607e-05 pm 4.24223e-05 | 0.00103161 pm 0.000382919 | 
| tanbeta = 10, m0 = 140 m12 = 680 | 7.94985e-05  pm 6.55048e-06 | 0.000360994 pm 0.000111176 | 0.00368041 pm 0.000186703 | 0.00200223 pm 0.00013588 | 0.000211949 pm 8.50662e-05 | 0.00194659 pm 0.000316418 | 7.7e-05 pm 4.29311e-05 | 1.699e-05 pm 1.19153e-05 | 4.27634e-05 pm 3.02126e-05 | 0.000738657 pm 0.000285977 | 
| tanbeta = 10, m0 = 140 m12 = 700 | 6.00158e-05  pm 5.18615e-06 | 0.000284968 pm 8.92091e-05 | 0.00305639 pm 0.000154346 | 0.00175502 pm 0.000118912 | 0.00015283 pm 6.45639e-05 | 0.00146595 pm 0.000237812 | 5.759e-05 pm 3.33117e-05 | 1.231e-05 pm 8.99548e-06 | 2.93799e-05 pm 2.13794e-05 | 0.000529637 pm 0.000214984 | 
| tanbeta = 10, m0 = 160 m12 = 100 | 4.20681  pm 0.289367 | 6.29825 pm 1.05809 | 175.877 pm 18.2447 | 0.164192 pm 0.00855752 | 41.3588 pm 6.51357 | 39.3364 pm 4.79702 | 10.77 pm 1.96413 | 4.33 pm 0.754651 | 91.7453 pm 12.9618 | 194.14 pm 21.9039 | 
| tanbeta = 10, m0 = 160 m12 = 120 | 2.11481  pm 0.146723 | 3.53931 pm 0.628708 | 48.3356 pm 4.44135 | 0.14331 pm 0.00756624 | 20.7582 pm 3.19933 | 22.1507 pm 2.48061 | 6.01541 pm 1.11619 | 2.136 pm 0.400324 | 35.6228 pm 5.20629 | 90.703 pm 9.63333 | 
| tanbeta = 10, m0 = 160 m12 = 140 | 1.12519  pm 0.073731 | 2.05578 pm 0.375356 | 16.9673 pm 1.37539 | 0.123316 pm 0.00672281 | 11.0384 pm 1.64631 | 13.2509 pm 1.41349 | 3.29219 pm 0.618943 | 1.094 pm 0.218665 | 15 pm 2.23157 | 45.1988 pm 4.6654 | 
| tanbeta = 10, m0 = 160 m12 = 160 | 0.643967  pm 0.0436216 | 1.2347 pm 0.231144 | 7.78797 pm 0.584293 | 0.10506 pm 0.00563132 | 6.19355 pm 0.953102 | 8.20644 pm 0.84963 | 1.80478 pm 0.343025 | 0.583 pm 0.123681 | 6.96 pm 1.12665 | 23.8082 pm 2.46165 | 
| tanbeta = 10, m0 = 160 m12 = 180 | 0.384278  pm 0.0265393 | 0.76532 pm 0.146912 | 4.13092 pm 0.282637 | 0.0889068 pm 0.00494939 | 3.51566 pm 0.533613 | 5.22452 pm 0.530924 | 1.00897 pm 0.195192 | 0.322 pm 0.0725948 | 3.45 pm 0.606169 | 13.1453 pm 1.32964 | 
| tanbeta = 10, m0 = 160 m12 = 200 | 0.23768  pm 0.0169303 | 0.487777 pm 0.0946696 | 2.39603 pm 0.157897 | 0.0748373 pm 0.00415516 | 2.0853 pm 0.31619 | 3.42 pm 0.34359 | 0.579426 pm 0.114792 | 0.1835 pm 0.0436068 | 1.79 pm 0.340054 | 7.52759 pm 0.753268 | 
| tanbeta = 10, m0 = 160 m12 = 220 | 0.150982  pm 0.0110581 | 0.318557 pm 0.0636638 | 1.48274 pm 0.0935177 | 0.0628335 pm 0.00363939 | 1.25346 pm 0.190914 | 2.28 pm 0.229972 | 0.3427 pm 0.0712397 | 0.1081 pm 0.027158 | 0.968 pm 0.198719 | 4.46 pm 0.44485 | 
| tanbeta = 10, m0 = 160 m12 = 240 | 0.0982556  pm 0.00728486 | 0.212249 pm 0.0433204 | 0.962197 pm 0.0588665 | 0.0526911 pm 0.00297167 | 0.775357 pm 0.117724 | 1.55235 pm 0.157953 | 0.2082 pm 0.0453678 | 0.0651 pm 0.0172924 | 0.541 pm 0.119017 | 2.72 pm 0.28525 | 
| tanbeta = 10, m0 = 160 m12 = 260 | 0.0650596  pm 0.00492574 | 0.144091 pm 0.0301002 | 0.648294 pm 0.0384469 | 0.0441664 pm 0.00257261 | 0.489426 pm 0.0748716 | 1.07346 pm 0.111378 | 0.1292 pm 0.0294936 | 0.0401 pm 0.0111868 | 0.31 pm 0.0729867 | 1.7 pm 0.18891 | 
| tanbeta = 10, m0 = 160 m12 = 280 | 0.0438169  pm 0.00336716 | 0.0996116 pm 0.021323 | 0.450104 pm 0.02585 | 0.0370469 pm 0.00218653 | 0.311561 pm 0.0470739 | 0.753826 pm 0.0793734 | 0.08167 pm 0.0195644 | 0.02518 pm 0.00741429 | 0.183 pm 0.0459648 | 1.08 pm 0.125522 | 
| tanbeta = 10, m0 = 160 m12 = 300 | 0.0299191  pm 0.00232636 | 0.0696047 pm 0.0153194 | 0.319389 pm 0.0179341 | 0.0311387 pm 0.00185709 | 0.202 pm 0.0306902 | 0.534658 pm 0.0573904 | 0.05252 pm 0.0131549 | 0.01611 pm 0.00498827 | 0.11 pm 0.029426 | 0.697 pm 0.085954 | 
| tanbeta = 10, m0 = 160 m12 = 320 | 0.020691  pm 0.00161886 | 0.0494588 pm 0.0111295 | 0.231951 pm 0.0128574 | 0.026218 pm 0.00159034 | 0.133 pm 0.0207575 | 0.382387 pm 0.0419806 | 0.0345 pm 0.00903995 | 0.01045 pm 0.00339237 | 0.067 pm 0.0190092 | 0.456 pm 0.0594053 | 
| tanbeta = 10, m0 = 160 m12 = 340 | 0.0144524  pm 0.00115213 | 0.0354578 pm 0.00812512 | 0.171307 pm 0.00939067 | 0.0221071 pm 0.00135689 | 0.0888 pm 0.0143005 | 0.27608 pm 0.0310127 | 0.02293 pm 0.00629018 | 0.00687 pm 0.00233803 | 0.0415259 pm 0.0125877 | 0.303 pm 0.0414906 | 
| tanbeta = 10, m0 = 160 m12 = 360 | 0.0101895  pm 0.000803633 | 0.0257469 pm 0.00601943 | 0.128378 pm 0.0069224 | 0.0186851 pm 0.00113819 | 0.0599 pm 0.00998791 | 0.200641 pm 0.0229783 | 0.01541 pm 0.00441679 | 0.00457 pm 0.00163146 | 0.0261177 pm 0.00855109 | 0.203591 pm 0.0298898 | 
| tanbeta = 10, m0 = 160 m12 = 380 | 0.00725269  pm 0.000568998 | 0.0188445 pm 0.00451272 | 0.0974723 pm 0.00522646 | 0.0158412 pm 0.000977756 | 0.0407 pm 0.00701426 | 0.147192 pm 0.0170743 | 0.01051 pm 0.00314308 | 0.00307 pm 0.00114683 | 0.0165201 pm 0.00578526 | 0.137141 pm 0.0218038 | 
| tanbeta = 10, m0 = 160 m12 = 400 | 0.00519661  pm 0.000404173 | 0.0139287 pm 0.00339845 | 0.0747878 pm 0.00395155 | 0.0134636 pm 0.000837576 | 0.0279 pm 0.00497855 | 0.108218 pm 0.0131529 | 0.00728 pm 0.00227109 | 0.00209 pm 0.000816385 | 0.0106481 pm 0.00397229 | 0.0939535 pm 0.0159986 | 
| tanbeta = 10, m0 = 160 m12 = 420 | 0.00373855  pm 0.000287159 | 0.0103669 pm 0.00258378 | 0.0579749 pm 0.00303609 | 0.0114713 pm 0.000729729 | 0.0191549 pm 0.00360349 | 0.0798264 pm 0.00967842 | 0.00508 pm 0.00165515 | 0.001428 pm 0.000583066 | 0.00688633 pm 0.00274662 | 0.0644635 pm 0.0118127 | 
| tanbeta = 10, m0 = 160 m12 = 440 | 0.00271456  pm 0.000205817 | 0.00777303 pm 0.00197512 | 0.0453382 pm 0.00234846 | 0.00980308 pm 0.000631152 | 0.0132518 pm 0.00260747 | 0.0592158 pm 0.00738861 | 0.00358 pm 0.00121618 | 0.000986 pm 0.000420536 | 0.00453778 pm 0.00191443 | 0.0447913 pm 0.00886163 | 
| tanbeta = 10, m0 = 160 m12 = 460 | 0.00197898  pm 0.000146664 | 0.00585252 pm 0.00152456 | 0.0357185 pm 0.00183581 | 0.00839516 pm 0.000552333 | 0.0091876 pm 0.00195245 | 0.0440444 pm 0.00557986 | 0.002537 pm 0.000898861 | 0.000685 pm 0.000305258 | 0.00297753 pm 0.00133603 | 0.0310972 pm 0.00649823 | 
| tanbeta = 10, m0 = 160 m12 = 480 | 0.00144989  pm 0.000105339 | 0.00444923 pm 0.00118447 | 0.0284134 pm 0.00146827 | 0.0072146 pm 0.000473918 | 0.00645885 pm 0.00145984 | 0.0330821 pm 0.00428839 | 0.001809 pm 0.000667694 | 0.000479 pm 0.000222711 | 0.00199027 pm 0.000939642 | 0.0218229 pm 0.0048065 | 
| tanbeta = 10, m0 = 160 m12 = 500 | 0.00106726  pm 7.34605e-05 | 0.00339301 pm 0.00092537 | 0.0226849 pm 0.00116495 | 0.00620665 pm 0.000398582 | 0.00452805 pm 0.00108545 | 0.0248173 pm 0.00327324 | 0.001212 pm 0.000484783 | 0.000336 pm 0.000163359 | 0.00133552 pm 0.000664281 | 0.0154681 pm 0.00367446 | 
| tanbeta = 10, m0 = 160 m12 = 520 | 0.00079175  pm 5.41155e-05 | 0.00260194 pm 0.000722412 | 0.0181989 pm 0.000927737 | 0.00535742 pm 0.000352492 | 0.00318809 pm 0.000808885 | 0.0186058 pm 0.00252131 | 0.0008741 pm 0.0003642 | 0.0002379 pm 0.000120464 | 0.000895968 pm 0.000466958 | 0.0109233 pm 0.00278983 | 
| tanbeta = 10, m0 = 160 m12 = 540 | 0.000589197  pm 3.99153e-05 | 0.00200408 pm 0.000564136 | 0.0147087 pm 0.000750653 | 0.00463126 pm 0.000305022 | 0.00224847 pm 0.0006073 | 0.0138878 pm 0.00193014 | 0.0006346 pm 0.000274863 | 0.0001685 pm 8.90425e-05 | 0.00060611 pm 0.000330315 | 0.00771436 pm 0.00208646 | 
| tanbeta = 10, m0 = 160 m12 = 560 | 0.000441228  pm 2.99389e-05 | 0.00154985 pm 0.000442562 | 0.0119248 pm 0.000605086 | 0.00401562 pm 0.000265706 | 0.00159067 pm 0.000453905 | 0.0104727 pm 0.00145808 | 0.0004636 pm 0.00020831 | 0.0001202 pm 6.62179e-05 | 0.000411331 pm 0.000234764 | 0.00547636 pm 0.00156701 | 
| tanbeta = 10, m0 = 160 m12 = 580 | 0.000330103  pm 2.18975e-05 | 0.00120445 pm 0.000348365 | 0.00971042 pm 0.000491539 | 0.00348705 pm 0.000232241 | 0.0011279 pm 0.000343939 | 0.00787296 pm 0.00113897 | 0.0003399 pm 0.000158061 | 8.59e-05 pm 4.92954e-05 | 0.000279222 pm 0.000166024 | 0.00389486 pm 0.00118006 | 
